artifact_id,artifact_name,workflow_run_id,created_at,fold,N,mae,rmse,r2,hit_rate,sharpe_long_only,sharpe_long_short,positive_signal_precision,positive_signal_coverage,mean_actual_return,validation_start,validation_end,hit_rate_vix_gt_20,n_vix_gt_20
10037317268,regime-analysis-113,34171829724,2026-09-08T01:18:24Z,5,4805,0.019223406203822322,0.03213211922162397,-0.21208827205679648,0.49427679500520294,0.5016138832060442,0.6060435452801344,0.4747311827956989,0.7741935483870968,0.001368176467383806,2026-06-17,2026-08-27,0.6190476190476191,105
9959998180,regime-analysis-112,33930550708,2026-09-05T01:12:51Z,1,4830,0.019737973280747056,0.031181561941498563,-0.22358565556827026,0.3778467908902691,0.4995608734997935,-1.2332145280313298,0.6122448979591837,0.050724637681159424,0.0062378542124767,2025-08-29,2025-11-07,0.29333333333333333,525
9959998180,regime-analysis-112,33930550708,2026-09-05T01:12:51Z,2,4830,0.017823260412968066,0.03130870340332518,0.10492162342709122,0.6525879917184265,2.611030793151715,2.519086038649076,0.6606498194945848,0.9175983436853002,0.011367966622912994,2025-11-10,2026-01-22,0.7056277056277056,693
9959998180,regime-analysis-112,33930550708,2026-09-05T01:12:51Z,3,4830,0.024152662341914356,0.04139100914159129,-0.32297247287322195,0.5076604554865425,-0.27062882002936367,-0.27368675809409504,0.5085239085239085,0.9958592132505176,-0.0013561562914902933,2026-01-23,2026-04-06,0.483743842364532,3045
9959998180,regime-analysis-112,33930550708,2026-09-05T01:12:51Z,4,4830,0.023290511488891667,0.03704672384505106,-0.06684382311267023,0.4927536231884058,0.5028265258551365,0.21552211234167143,0.5213191205862758,0.6215320910973084,0.002821828379692342,2026-04-07,2026-06-16,0.36996336996337,273
9959998180,regime-analysis-112,33930550708,2026-09-05T01:12:51Z,5,4805,0.018601571725254867,0.03001624796926429,-0.05771416066124857,0.4894901144640999,0.4081248518438113,0.44571805802800274,0.47284427284427283,0.8085327783558793,0.001368176467383806,2026-06-17,2026-08-27,0.6190476190476191,105
9919754402,regime-analysis-111,33819030583,2026-09-04T01:21:15Z,1,4830,0.018518720630216857,0.029868637441451084,-0.1388034539807148,0.35859213250517596,0.012782938711178339,-1.644305314994908,0.5031111111111111,0.2329192546583851,0.006540218190704041,2025-08-28,2025-11-06,0.4666666666666667,525
9919754402,regime-analysis-111,33819030583,2026-09-04T01:21:15Z,2,4830,0.017606272170976257,0.029897605565111243,0.16079231518459658,0.6275362318840579,2.473079945641701,2.10437289328924,0.6995558375634517,0.6525879917184265,0.01057680306504297,2025-11-07,2026-01-21,0.6622023809523809,672
9919754402,regime-analysis-111,33819030583,2026-09-04T01:21:15Z,3,4830,0.02275864765102464,0.04122413448894444,-0.262299809013951,0.5380952380952381,-0.4627312156791977,-0.32687407666630075,0.5203189300411523,0.8049689440993789,-0.0026143759691242183,2026-01-22,2026-04-02,0.5666666666666667,2940
9919754402,regime-analysis-111,33819030583,2026-09-04T01:21:15Z,4,4830,0.02272772706897212,0.03620861732364492,-0.020215030137454848,0.5271221532091097,0.6283880607906309,0.49163680336640775,0.5434343434343434,0.8198757763975155,0.0035907078869231958,2026-04-06,2026-06-15,0.7936507936507936,315
9919754402,regime-analysis-111,33819030583,2026-09-04T01:21:15Z,5,4805,0.019085593196513338,0.03135245828249989,-0.137019729786775,0.4951092611862643,0.00453927088509607,-0.34787792807571083,0.4762345679012346,0.6742976066597295,0.0014703541966535583,2026-06-16,2026-08-26,0.4380952380952381,105
9874003459,regime-analysis-110,33696956081,2026-09-03T01:09:06Z,1,4830,0.01875289822246782,0.030059460207814186,-0.1644336202900465,0.38944099378881986,0.658544379240663,-1.1303740787532175,0.6430769230769231,0.13457556935817805,0.006735170781367741,2025-08-27,2025-11-05,0.45714285714285713,525
9874003459,regime-analysis-110,33696956081,2026-09-03T01:09:06Z,2,4830,0.018192328347605077,0.03155488231143889,0.03863667985742747,0.6312629399585922,2.236855667205177,2.138240419359997,0.6359945872801083,0.9180124223602485,0.00971715213873395,2025-11-06,2026-01-20,0.7619047619047619,651
9874003459,regime-analysis-110,33696956081,2026-09-03T01:09:06Z,3,4830,0.022679345980561785,0.04132321907540597,-0.24063022440397241,0.6012422360248447,-0.13613396862741414,0.42345347110534015,0.5530383795309168,0.7768115942028986,-0.0035219153086041718,2026-01-21,2026-04-01,0.6582010582010582,2835
9874003459,regime-analysis-110,33696956081,2026-09-03T01:09:06Z,4,4830,0.023489327050030977,0.037188233157315,-0.07607339576617789,0.5024844720496895,0.5262729856466939,0.08105237644128585,0.5496493170911776,0.5608695652173913,0.004252743292238224,2026-04-02,2026-06-12,0.6640211640211641,378
9874003459,regime-analysis-110,33696956081,2026-09-03T01:09:06Z,5,4805,0.019833831589023382,0.03232669594658987,-0.17871554113730248,0.47200832466181064,0.3699531674112319,0.3795095627438158,0.4743761140819964,0.9340270551508845,0.0014995548183340257,2026-06-15,2026-08-25,0.6190476190476191,105
9827810499,regime-analysis-109,33572569001,2026-09-02T01:26:11Z,1,4830,0.0198286244198416,0.03124428365227023,-0.27772984150319857,0.3619047619047619,0.26873822225755456,-1.677992690567072,0.816,0.025879917184265012,0.006916915711441642,2025-08-26,2025-11-04,0.23809523809523808,525
9827810499,regime-analysis-109,33572569001,2026-09-02T01:26:11Z,2,4830,0.018145446973584903,0.030744927677146372,0.06518659817319827,0.5329192546583851,1.793402332473589,1.0305357887713291,0.6091661362189688,0.6505175983436853,0.009025902869902498,2025-11-05,2026-01-16,0.680952380952381,630
9827810499,regime-analysis-109,33572569001,2026-09-02T01:26:11Z,3,4830,0.022788712708390925,0.04212198168866065,-0.25821403631579987,0.5674948240165631,-0.30263994202130096,0.23771437202056855,0.5244660719113274,0.7658385093167702,-0.004138468936494447,2026-01-20,2026-03-31,0.6125045438022537,2751
9827810499,regime-analysis-109,33572569001,2026-09-02T01:26:11Z,4,4830,0.023040454434105385,0.036708834420939244,-0.042302415067114296,0.4652173913043478,0.44122664973150877,-0.3425453117086701,0.5284705882352941,0.43995859213250516,0.00471689028920202,2026-04-01,2026-06-11,0.7056277056277056,462
9827810499,regime-analysis-109,33572569001,2026-09-02T01:26:11Z,5,4805,0.019508424405670743,0.03189165408008256,-0.11472807016027797,0.4921956295525494,0.3046360767587155,0.15346842456654844,0.477580372250423,0.4919875130072841,0.0013210295296868216,2026-06-12,2026-08-24,0.5714285714285714,105
9783881323,regime-analysis-108,33456918817,2026-09-01T02:36:01Z,1,4830,0.018003017014226873,0.029446062240921746,-0.15808830512456606,0.4894409937888199,1.524796922426732,-0.09035111472496346,0.7158469945355191,0.3409937888198758,0.007139524616871732,2025-08-25,2025-11-03,0.46095238095238095,525
